Town,Region
Veazie Gore,5
T4 Indian Purchase Township,5
T3 Indian Purchase Township,5
Millinocket,5
East Millinocket,5
T1 R8 WELS,5
Grindstone Township,5
T1 R6 WELS,5
T2 R8 WELS,5
Soldiertown Township,5
Herseytown Township,5
T3 R8 WELS,5
T3 R7 WELS,5
Staceyville,5
T4 R8 WELS,5
T4 R7 WELS,5
Patten,5
T5 R8 WELS,5
T5 R7 WELS,5
Mount Chase,5
T6 R8 WELS,5
T6 R7 WELS,5
T6 R6 WELS,5
T7 R8 WELS,5
T7 R7 WELS,5
T7 R6 WELS,5
T8 R8 WELS,5
T8 R7 WELS,5
T8 R6 WELS,5
Molunkus Township,5
Macwahoc Plantation,5
T1 R5 WELS,5
North Yarmouth Academy Grant Township,5
Upper Molunkus Township,5
Reed Plantation,5
Bancroft,5
Weston,5
Benedicta Township,5
Silver Ridge Township,5
T2 R4 WELS,5
Glenwood Plantation,5
Haynesville,5
Orient,5
Sherman,5
T3 R4 WELS,5
T3 R3 WELS,5
Forkstown Township,5
Amity,5
Crystal,5
Island Falls,5
T4 R3 WELS,5
TA R2 WELS,5
Cary Plantation,5
Linneus,5
Hodgdon,5
Hersey,5
Dyer Brook,5
Oakfield,5
New Limerick,5
Moro Plantation,5
Merrill,5
Smyrna,5
Ludlow,5
Houlton,5
T7 R5 WELS,5
Webbertown Township,5
Dudley Township,5
Hammond,5
Littleton,5
T8 R5 WELS,5
Saint Croix Township,5
T8 R3 WELS,5
TC R2 WELS,5
Monticello,5
T9 R8 WELS,5
T9 R7 WELS,5
Oxbow Plantation,5
T9 R5 WELS,5
T9 R4 WELS,5
T9 R3 WELS,5
TD R2 WELS,5
Bridgewater,5
Cox Patent,5
E Township,5
Blaine,5
T10 R8 WELS,5
T10 R7 WELS,5
T10 R6 WELS,5
Masardis,5
Scopan Township,5
T10 R3 WELS,5
Westfield,5
Mars Hill,5
T11 R17 WELS,5
T11 R16 WELS,5
T11 R15 WELS,5
Clayton Lake Township,5
T11 R13 WELS,5
T11 R12 WELS,5
T11 R11 WELS,5
T11 R10 WELS,5
T11 R9 WELS,5
T11 R8 WELS,5
T11 R7 WELS,5
Garfield Plantation,5
Ashland,5
T11 R4 WELS,5
Chapman,5
Presque Isle,5
Easton,5
T12 R17 WELS,5
T12 R16 WELS,5
T12 R15 WELS,5
T12 R14 WELS,5
T12 R13 WELS,5
T12 R12 WELS,5
T12 R11 WELS,5
T12 R10 WELS,5
T12 R9 WELS,5
T12 R8 WELS,5
T12 R7 WELS,5
Nashville Plantation,5
Castle Hill,5
Mapleton,5
T13 R16 WELS,5
T13 R15 WELS,5
T13 R14 WELS,5
T13 R13 WELS,5
T13 R12 WELS,5
T13 R11 WELS,5
T13 R10 WELS,5
T13 R9 WELS,5
T13 R8 WELS,5
T13 R7 WELS,5
Portage Lake,5
T13 R5 WELS,5
Wade,5
Washburn,5
Fort Fairfield,5
T14 R16 WELS,5
T14 R15 WELS,5
T14 R14 WELS,5
T14 R13 WELS,5
T14 R12 WELS,5
